 -50.0000 -50.0000  CK01
 -50.0000 -35.0000  CK02
 -50.0000 -20.0000  CK03
 -50.0000  -5.0000  CK04
 -50.0000  10.0000  CK05
 -50.0000  25.0000  CK06
 -50.0000  40.0000  CK07
 -35.0000 -50.0000  CK08
 -35.0000 -35.0000  CK09
 -35.0000 -20.0000  CK10
 -35.0000  -5.0000  CK11
 -35.0000  10.0000  CK12
 -35.0000  25.0000  CK13
 -35.0000  40.0000  CK14
 -20.0000 -50.0000  CK15
 -20.0000 -35.0000  CK16
 -20.0000 -20.0000  CK17
 -20.0000  -5.0000  CK18
 -20.0000  10.0000  CK19
 -20.0000  25.0000  CK20
 -20.0000  40.0000  CK21
  -5.0000 -50.0000  CK22
  -5.0000 -35.0000  CK23
  -5.0000 -20.0000  CK24
  -5.0000  -5.0000  CK25
  -5.0000  10.0000  CK26
  -5.0000  25.0000  CK27
  -5.0000  40.0000  CK28
  10.0000 -50.0000  CK29
  10.0000 -35.0000  CK30
  10.0000 -20.0000  CK31
  10.0000  -5.0000  CK32
  10.0000  10.0000  CK33
  10.0000  25.0000  CK34
  10.0000  40.0000  CK35
  25.0000 -50.0000  CK36
  25.0000 -35.0000  CK37
  25.0000 -20.0000  CK38
  25.0000  -5.0000  CK39
  25.0000  10.0000  CK40
  25.0000  25.0000  CK41
  25.0000  40.0000  CK42
  40.0000 -50.0000  CK43
  40.0000 -35.0000  CK44
  40.0000 -20.0000  CK45
  40.0000  -5.0000  CK46
  40.0000  10.0000  CK47
  40.0000  25.0000  CK48
  40.0000  40.0000  CK49
